id,text
76,to tut tsu lah gua m tsai to lo tih sit kioh li honnh suo hue a tsiann si ji an ne ka in
77,thau tsing kong ui pioh pi set beh sia heng guan na sin la tha  lan to m si to leh g ah si u iann hia iau i hia e tsiong kim
78,un tsiunn s tan tan e pi tshoo ka suan iung
79,hong bun a
80,siunn e ka ti khuann via to ai sing khi be tsit tsoo khah ho e g pu siat pi
81,gua e ka ah kong tshua lai khi tshai tshi a
82,ma ah a a
83,si gi e sim kha kam e tang tshah ti sann g be tshiu ki a lai bin
84,tsi hang tshai lai te u tsham le bog tioh liat bong bi tsin kau tsin phang
85,a tsuei pe a sang hoo gua sann tsap pau khng na
86,siang khi tau thih tshit ki phian tsi la ka tina giap hok khui
87,la tshe lai tse
88,gua a put lah e ing tsit su
89,ho ah inn a i king tsiah liau ah kin a jit to kau tsia ui tsi looh han tsing li an ne ka tak ke kong
90,o took bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshueh bo lang beh hiau khiau o tok bai e
91,lai khui mng leh
92,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sjing tshuan kho hoo tsiau kah ting hi tsing tsiau sun si pai tu kiam tsa liau tsiah ai ting ki
93,a peh
94,hinn i hiong he snn tshuo sim  ia thang huai pang ho tshoo tsong e u hi kang tsiong li pho si ku e bang
95,kue lai tsit si a lah
96,siann mih thau oo e bitsit lo khah ho
97,a peh si gua
98,tsung mue e hoo gua tsiah
99,tsia bo huan ing lin lah
100,ko li khi sing te uah beh lao si
101,kah hit tsam ti tsit tsun jit tsi ke loua hing hoo leh
102,tsiot gua tsit kha sut bi pah phah ka tsuah
103,ong thai theai li sim pu sit tsai tsin gau tsu ka kui to phang kong kong
104,h un lah
105,li si tui to ui ti tioh tsit tsiah ang a e
106,an ne siu kai u e bo bun te poo hun kho ling u bun te
107,ih ting ai e lah
108,e khi tshit tioh lang e i su
109,a me a si beh khi tai pak a sin beh khi tai lam
110,tai si
111,bua khuann tioh ti ia
112,ing am m gua tsiah ka li le loo
113,ling kua pun sit giam tshai iong kan gua e su lui kan tann hun tua lui tong su mia su hing iong su ting ting
114,pha koh tua liap e inn a uooh tsit liap tsit ka gin nng lip nng ka gin tsann liap tsiah bean tsinn oh hua be siann khip in tsit kua kiann lou lang e tsu i
115,gua hit tai tshia tsue kin tsiah ka sit liap thai ia tsuan poo uann kueh
116,tsu hong be tang pai thik sin lo a si khi in hau loo e lang kong tai gi
117,iau m koh u lang ui tioh ko jin e li ik lang hoong sia beh lai sio tsinn
118,tsit sian bue a
119,kho liong bo huat too tsun si si e
120,puah pinn tioh tsun pi tai sing tshiang kui ki tsiakg lang thiann hun ping su au bo inn tinn
121,ng siak pinn e in goan tso khi lai ma bo kai khuai look loo pinn e ke iu kui jit ing sean sian
122,aih iok 
123,tsau hah thai luh i kioh pi khui ah ai kha tean ue kio sai hu lai uann
124,lau hiann ti ah puo loh t puah loh khi ah lin thang tua se siann
125,kue hai kuan tsin tsing u tshui ah si pak khuan tshiau kue tsit pah si si e ik pheh long ai to tiau u loi tah to  ah si pak e ui kim phin e tshiann tsu tuann tan tiau pe sai tsa ti sing khu ting
126,li e phue hu bong khe lai iu iu hiu be su na gin leh
127,he thai e sai hua iau be tsiah tioh neh u lang bo huan hi lih tua siann hua
128,ah ha ah ha at tiong pe a tsiong pe a
129,thoo kan tu jiu ho ku liu siu tioh se ji liau liau a kiann
130,senh ang e kau guan si t tsit e
131,siunn beh hoo sekai ko khah uan bi siunn beh hoo ka ting koh khah hing hok siunn beh hoo sen mia koh khah tshiong sit soo i
132,khiong tsing khoong
133,be li siunn kheh khi la
134,kong bo nlong ku to be thi kha tang tshiu a
135,m na si lan iaan tai tai gi lang o thak lian the lai kai e pean tsiah ma hue hue tsit tsiong iong ji huat siunn kue i ua si tsai pu kho tshu
136,li tioh ai khun khun hoo pa
137,thng siunn tinn gua bo se ji tsianh tioh li e khoo
138,lan tsap ji tsit ka jip ta liu ti o be be mih kiann khah bo khio sueh
139,huah tso bu hing tshoo tshu khan ting ti tai uan hean tai si teh sann tsap ji ki
140,tsit e ah si hit li
141,haih kuan thong ke liau au tsiah khi hau ki sik sio tan si kan na u kha liong e tang khi se beian se ke
142,mi tsit e lang long si tok li be mi tsit e lang long u ka ti e sing ua king giam ka ti sik
143,gua
144,kin a jit e ting hun to honnh kam e sai tshia li the gua ta tshioear tong tshong an nai khi n e ui a ho bo
145,in to si bo ting aspi tsia e tap pai long e lau kau mi kiann
146,hanne gin a ang u hinn bo tshui m hoo pean mng
147,i ko sia kong tong tso phai e ti tsuan se kai sit khi khuan ui kau ting iu ko kong gue u siann
148,i tsai too sang kai u tsun giam kah tsit ma e po siann kak khuan
149,in ui siann pi oo kok bai sua tsing tioh an moo thoo hoo la kiau tshia e tshia thau phat to tsit e tsin giam tiong
150,la tsia pai tei hah
151,tiong kok m khing oo bi kok eh tshit ian kiu ke tsei penng tok sam phun
152,kio siann mih mia
153,mai an ne bo tai bo tsi to ka lang phng
154,maie an ne lah
155,eh kau thong hiah ni bo hong pehn
156,li e hak giap khai iau kin
157,in a si tong suan ma e pi iau kiu si hian sing lok tih king tshat kai kik lai kong tse i king si tsit e sing li
158,a kan a
159,kau tann guan tsu bin e tan giong ka ti e bun bi sia kong bun khah hsit sit tsuan hing tsing gi koh tsai hua tsit tua poo
160,tsu tsia e lang ka i be tsit te thoo tho hi i hiam siunn tse thoah to kuann khi hing hoo lang
161,th tean lua e phh tsiat long si ke kim pu bo siok ua tsi
162,sauditsit tsap kau houe sin kok ong sa na kin ni tsiann gueh tsiah ting ki tse ui
163,bo gua si la
164,siun lai the hit tiunn phue tsoa na thah bak sai a thupp phupp li
165,kin ne kin e a ah pun lo khiah
166,ko sann tso si lhioh khun
167,na mng kong tsu a kein suah loh lai kam ko e u hong tha e siong tsio tsit si goo kang si bo khuann e lah kuan tsiong lin iuo ing kai si beh huan lo
168,lan hun sann tsiong tsing hing lai tho lun
169,khah kong ma heh
170,a bu gu ia m si sann hoe gin a na e be hong sim
171,tsan leh kam muo a pak tau li the tshing kah
172,tui in tshu lai tshiong kik si siann khuan in tiong tuan e jin sing beh an tsuann
173,kong ue tik tsing king m thang hi hi tshio
174,sun sun le
175,gua khuan be tshut lai gua sia tso bun si to tsit tiam bo ho
176,hohla lah a biau kua e lan t me tsit sun vhon lah mai phaunn honn kuai
177,ah li tsang h to kio gua khi be tsit kua liau bo khi khuan hu lah
178,tsin tsing kui kang gua kau tsing tshik e sia tiunn tia birk s chof u h ma sia gun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat too ing hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh thi pat lang tshit kha tshulnn
179,lik khi
180,han tsing li tsit tsiok ka siau lian ke khuann khuann le ka kong siau lian e li tsai iann bo gua e inn a tsiah sann liamp bean tsinn neh
181,li lai kau koo bio e kah lai
182,bo ka li phean thui mv eashai kue poo sit tsa u kau ho iong e ah na tsun kong li u su iah honnh e tanng gui uan tshia thih kui tih an tng khe lu khuann ma i
183,thau ke gua nau hia san es gua lah tshing e lueh
184,khit lai tsiah png bo
185,liak bi lai hong hiong
186,si an tsuann i eh tang khuann bian tsinn e gun bi ioaing tsit la
187,tsit ma sit guan tsu bin tsok gi ong bang bi nai khe ka gi tai gi long u ki hue
188,tshian mang e ti to tsit ku e kong huat lan tai gi bie an ne kong
189,li kam giau koh u ti than e hong huat lai tsoo tong siu huat
190,li sing kiau tshut khi tan kia ting a
191,hai ang tai gi bun ham gue kha te tsit pah khong ji ki
192,suah lh lai pe lai siau kai hue ling kiea an tsuan siat pi to sing mng ti hue ling ki e nng bing sann soo am ti thau khak ting kiu sing i ti i a khah
193,gua thai  li soo i tsiaht tsiah ni tshong poong
194,ooh sui a bai ah
195,tse tshe phainn a bin ting u sann e tsiu tsiu sann e sik tsui lang bo kang
196,ting tiam
197,tiam tiam tit pinn a tso bo su ji
198,tioh ai pe bu tsu hun ai u jin ki lang kai siau tui hong tsa poo ah m tsai hi ah hoo loa luan kau
199,tsiong giah soo kam hik po hui si tong king ik kiap kiu tshut bu ki tshu kai hua si kia sing than kai
200,aih i to kau hoo li tsiau kooh honnh
201, u i gua en ah si u kho ling ti li khong it liong ni tsham san tsong thong e kiong ho tong jin su
202,tsiu ho gua koh lim kui pue a ho bo
203,li kong leih
204,m bean lua hiah pe
205,oo m
206,sa bak a tu liau kau tshit  gua koh u siann mih tik sik
207,li ka sing ua e tiong sim khng gi to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
208,tsit uainn thoo tau khn khong kah mi mi mi tsiann ho lo au
209,goo tiam ji an vn su tsoo
210,tsit ua bang bing ling
211,hhg m tsiann nia
212,li kam u ing thang ka gua tau siau ka tsit e nai khi siong su si  e a si toh tsit siang
213,soo ni tshiu khi a kam u ho iong
214,e sai tsio tsinn ah si be sai
215,tsit e u thia si a  i koh ka in ting se sing khu tsit pai phak tah liau au the ut ta kau u ka tshiunn sit e kag khuan tsing tsha sit tsui u kah sit
216,m thang tshah i
217,li sian mih si tsun beh tng khi tai pah
218,thiann kong gin a lang khoo ua khah gau toa
219,tng lai ah
220,sin lun te tshiann kai sue tsok tsia soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso lu sing e tsit ku e i ham tsah un
221,bian koh pian han kah ni te li tsinn la hainn gua lah
222,siann mih lang kong li eoh tshit a khuann e si m
223,ah beh siann poo
224,pua hoo li long lue lah
225,h ahi tsiah kau o kai mhia lah ah lin be ki kte tsio a kau lah
226,bo jin ho e kuan he
227,tshean pah lah si gun a kong thap tsa shiong ai khuann e hi
228,ti le ko tsa si tsun pian tong long e tak tsit liau mue a kah tsit te thak khu ang
229,e ah tsia long kah tiahng ting khi lai
230,li na kah kiam  ji san tsap hoe a honnh gua tsiah phah hoo li tsiah
231,an ne bin a tsai kam kau khua si tsit liap tsit kamh gin nng liap nng kah gin sann liap tsiah biean tsinn leh u lang an ne m
232,kau tann iau u tsioo tse siau lian lang e tuann gi tah khi liok tsa boo gin a
233,c of ab uan sioi phi of a ng phi of b soo i ami of ab si hu soo
234,tng tang sin the huat tshut tsi sit kong i i king siunn bah li suatkh kong m koh kea nng koh tsin sui
235,tiah tiann lok loh khi tshan te
236,sin niun sin niu sui tang tang kho tie ho ho bo phua khang si long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan
237,ui tioh siau loo tshi tiunn tua lat thui sa kik tuan e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau
238,beh iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau  mng
239,tsit put koh tse kah lean bing lai te ki than tong phai e i kean u sio khan lian
240,mhh
241,iih titk hua tui khong e bok tik ki sit si po tsing i ka ti tsian ah kok ka  khuan lik
242,u gua khiong pooh to tshin tshiunn khalinton si gueh ji kau ti niu yiok  cn ti ah tai hak tsit tiunn ask kong e
243,li tsit e lau ka li kam bo hun
244,na si ab tia tia sing tui tshut hian m ko i au piah e tsiah pi i gua e su bi thau tsing ma kho ling e tsiahp  i gua e su
245,i kiann ka bin sik pih sut sut
246,u lang tih e bo u lang te e bo ah
247,iu tong phing sin sinn piu tong phing siean sinn lin na bu tng lih tshue li tshiann kau te ji kui tai sio tan t sia
248,in tau e te hue long uah e loo i ti e ke tsiann kong e
249,tshia li ti to tsi siann liau au khai si lau ue to sia
250,tsit te phang lai te khu li mu iau koh sio sio gin a lang un ai tsiahah e
251,kin lai kue iau an tsuann
252,thinnn khi tua kuann a tha tsit nia o bah khah ho
253,ah gua kah lai tsiau oo lang kheh lah honnh
254,ai eam m si lah
255,tong sing hun hap huat huah ka lai khuann o tsiu
256,la hang lang oh lo u hing ui gua hang e kong gua ono khia khiak
257,tak ke tsiak tue gua lai sann lau tshut king tua thiann pan li ting ki tshiu siooh than thi hing li thok un
258,nnge lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn sng bun phue tsing hun na e tsian ni po
259,tse to tso sing m na si kann ga siunn kheh huei iong siunn kuan kuan li siunn khun an nea nia tsiah tse lang khi kuainn
260,long ho se hong mu the khuann tso si sin tsing khuan tui gua tsing tshik khah took li tsiok kip e piau hean
261,linng e ti hia si si su hhut si teh kong siann
262,kiuk khong ni tai hua bun e tsu liau khoo ma khai si ti tai uan tiong kok ting soo tsai kean lip
263,ma ma bo pe thiann li
264,siunn khuann mai kong khuann mai be a kah iuann a tsha ti t
265,ah la ah phah be kua e
266,hiong hiong u tsit e lang ka i ioh tsing sin i bak tsiu un ia kim khuann tioh tsit e bin tshiun tsiok bai etsa poo lang tsiann tua siann ka hua
267,si lah un tsai iann m tioh ah lah
268,tak ke long kau a lan lai khi thing tshia tiunn tsiunn tshia
269,gua u khuann tioh
270,i kheh kui puann poo long khi bo tham
271,i sing jin iau koh u tsin tng e looh ai kiann
272,tsa ji pue a siak thoa ka u iau kin
273,ti jip pun sa khu lah khui e hit tang tsun kui phiann ang ki ki kasi su
274,bi kok kah iran ma u kiong tong li ik pi lu iran tsi tshi e shia bin ping
275, ai tset sim un bang tsam e phing lun ka tsimil puo i jing ui tsin u si tai i gi
276,li tso ho pid sing kiah tsit hun hook gua phinn phang tsit e ho bo
277,o eoo a tsit e toam mng honnh koh kah ting khah kuan leh
278,le tioh ka png tsiah hoo liau
279,tsing lang thiann han tsing li an ne kong long kuann kin tann thau khuann suann tinng u  k heu  tsit e khuann ta ke sim lai long am hoo tsit siann gua khoo ah suann e tsiah tshiuh ping u ann kiam tsit puann khi a
280,kau a ng honng kio
281,si sit giam poo soo
282,in ui bo tshut li ham hoo sikg e bun te soo i  ing thiong tioh sit giam kiat ko e phin tsi
283,tsit e ki khi lang e thitis si iong hhi s a si tha khoo tang tu tso e
284,ai siong sin ka ti it ting phai e tioh lam ping iu
285,u ki hue e ti lak guea te i tsing tai sing hiam gi
286,gua kong bua e to bua e lah
287,tun si tai pak hiah ni hok tsop li tshu tshu tioh ai khah sea li leh
288,an ne tso ka ong kheh
289,tsain sing tsia o lo i kiann bu sit loo suann m koh kiong ho tong ti kok hue ka te tse
290,si tsap si phinn sin ho lam jin bo beh tau se uann tsi it ma ma e kam tong
291,kak hue ah li u iann tsiok sui e liok gu long tsiokh hin sian tsiok kain i lioh un tong sann khui tshui ka tu t laoh
292,ah sui kam moo a a thaook li the i tshing ka
293,gua tsitg a tiam tit le  a tsiunn peh tshu u eng tsiah ai tse lah
294,soo i ua be kah li ke kau
295,kiann bi kok imang kiann uah sau udi kh ka ti bi kok tsee kin ka ilan kai se guan hi i king in hi tsi
296,ka gua tse mong tse tsiah khui
297,suann ting long tah u pih bong boong sjian mih long khuann bo
298,o tsiu kok hue ba ti ji khong it ji ni piau kuat tong sing hun hap huat huah e gi te tsan sing phai suh ka thong khoo
299,gua e sim
300,tshin tshiunn tinn kue pat po png ting mi tsue tsiah mih long a iong tsu bi lai tso
301,pheh heh
302,he tean tong tshia honh tsau be tin tang in kai si bo tian a ai ka bat te li theh tshut lai tshiong tean tsit e
303,an ne lah
304,hit tui ang a boo oh e si tsing phai put lu su thiau kah tsiann ho khuann
305,sanng bak a ti tsa tsing si siann mih khuan lang leh tsiah e
306,tsia ping khui mng loh tshia tsin tsing tshiann tsu i tsia siunn ka ge tai tiong ne phang m thang lan bue phang lin
307,li sing kiann tshut khi tan khe ting a
308,thann kai tshu hua e tsuan ki thann hong te tsong phoo sa pun gua king
309,tsit ma a si kang khuan mah
310,i tshi tshi tshng tshong teh hau li kam long bo thiann e
311,puann koh gua kue ah thau ke niu si tat pakn ai e i tso lang tsin ho
312,tio a tha e u kho ling tsiah bean tsinn lah
313,a tsi lang kheh kheh khi khi
314,li kianm bo kong iau u si git jit tsiu siu guai si kau ma gu ka lin kong giah bak khua hng it king sik thang kua lah
315,lai tshiunn kua
316,kuan ho kah ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
317,lai kiai jit tsoo tsi ah si tse tshai e po hing
318,tso tsit kuann sin the bo tiann e ka i e tai tsi phoo phoo thann than tsiong i tsing gik khai sin phe giah
319,i tsiong lou pah nang kau pue 
320,ho i au na si huat sio tsiau kuan nng kang tig ai sui le kiam tsa
321,e tsiai a u lang kha tit ue lai kong siann mih tsit koh gueh ti biam lai lu tsicsipb lon tshiau kuai tsit tshing khoo to sang ho khang
322,ho lin peh beh kak uiui khie lah
323,ia gam tsioh iu huat tian kit o phe ti ui pu beo
324,gun ping iu liam mi to bih lai ah tsiam ma huan li the gua io vi tsit kua mih kiann tshiann lan tsiah
325,ah sam a pahh me kue ah
326,io it ka emi kah si a thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong liat tshut lai han lo ka tsuan lo hun khui sng thai tho lun tsit e su tsoo ti mih r nng e thong ke pio long u tshut hian
327,henn siu lang beh sue si m
328,tha loo si ten hn ka khau
329,kiann
330,ping siong si khang khue tso kah pouannh me tsiah png kuan si nma phue tean nonh
331,to jsit khuan se thau tsui siong thian jian lai ben nng kuan tng khi tshi huann mai e
332,hun me put tshinn gun tsa boo kiann na u ban it huann li beh iong siann mih la tue guah
333,li kiann loo na kuai kuai kam si khih ua tioh
334,o ba sang li ho li e ai e mih kiannn ti tsia
335,tshin tshiunn han lo puo hun e ong lai am kue tsu pun ing kai si tsit e su
336,kiann piann e tsiah ka khan khoann kio
337,a an pi a huat ke kai khiam
338,lan kin nai tsiah png la
339,li iong i e kua siann kah hian a bim miau e suan lut ka ping an ham hing hok than tat tshut khi
340,iau m koh tai uan tean iann si gua e sen mia mo lun an tsuann gua ing uan long be hong khi
341,siong bue hit phinn suah hi e thau tsing tsit puann si ji khong khong tan ni sia e tu tu si to tng tshut pan hit tsit tang
342,li tsa khi si a pin tuann khi lai khi hue
343,e i tsinn kuai lih tue ang tsau a
344,a tshua khui e hiunn tong lian si hi ku
345,tshut lai khang khue tak tap ti ti tah ang long ai gua tso na h tso e lia
346,le i loh kah su koh u kuann i u ka suh pi tsau tshut lai
